iter	Logloss
0	0.6880226109
1	0.6832305588
2	0.6784856822
3	0.6737578339
4	0.6691606974
5	0.6646239427
6	0.6603629054
7	0.6558597318
8	0.6510949161
9	0.646545296
10	0.6425087238
11	0.6381260177
12	0.6341793696
13	0.6299350037
14	0.627045076
15	0.6236687909
16	0.6196647861
17	0.6157705293
18	0.6132612417
19	0.6089647742
20	0.6060326645
21	0.6028281964
22	0.5986574931
23	0.595325379
24	0.5918889877
25	0.5884101036
26	0.5850671315
27	0.5824950635
28	0.5795906596
29	0.5759332352
30	0.5732913256
31	0.5710403416
32	0.5695330446
33	0.5667027297
34	0.5637503444
35	0.5606197069
36	0.5574868958
37	0.5544697427
38	0.5512796457
39	0.5485398085
40	0.5468188223
41	0.5441741982
42	0.541450444
43	0.5401337637
44	0.537234897
45	0.5345087323
46	0.5322205316
47	0.5298208314
48	0.5272784969
49	0.5250233842
50	0.5227200527
51	0.5198429635
52	0.5173801734
53	0.514842416
54	0.513412278
55	0.511322981
56	0.5095301195
57	0.5076437388
58	0.5056660256
59	0.5037249647
60	0.5017598462
61	0.4995807098
62	0.4977844566
63	0.4958165688
64	0.4942967202
65	0.4926731111
66	0.4905573431
67	0.4888506609
68	0.4873254627
69	0.486119312
70	0.4846453757
71	0.482770569
72	0.4809881494
73	0.4796252331
74	0.4779531164
75	0.4762362515
76	0.47495644
77	0.4734245978
78	0.4718856053
79	0.4702162487
80	0.4682882905
81	0.4665963345
82	0.4648781768
83	0.4636514567
84	0.4621623052
85	0.46049603
86	0.4589571799
87	0.4578842631
88	0.4567410582
89	0.4551669926
90	0.4541344474
91	0.4530521481
92	0.4518727305
93	0.4506162331
94	0.4492424109
95	0.4477864946
96	0.4467842527
97	0.4455720655
98	0.4443057553
99	0.4433707429
100	0.4422526237
101	0.4407673064
102	0.4396945614
103	0.4382810858
104	0.4370164623
105	0.4364673877
106	0.4354916923
107	0.4345268398
108	0.4337746797
109	0.4325437957
110	0.431536552
111	0.4303568476
112	0.4294350569
113	0.4285117034
114	0.4280754836
115	0.4268815012
116	0.4256997861
117	0.4248229627
118	0.424017465
119	0.4233322456
120	0.4226748352
121	0.4218733373
122	0.4210019072
123	0.4200355687
124	0.4189545101
125	0.4182323452
126	0.4173911374
127	0.4165010457
128	0.4155822693
129	0.4149601187
130	0.4143639179
131	0.4137357757
132	0.4128302404
133	0.4120100684
134	0.4112602843
135	0.4106680094
136	0.4097649128
137	0.408878536
138	0.408103469
139	0.4074357725
140	0.4065696088
141	0.4063499162
142	0.4057144395
143	0.4047549357
144	0.4040812418
145	0.4033833467
146	0.4028399695
147	0.4021099984
148	0.4013407328
149	0.400631418
150	0.3999155771
