iter	Passed	Remaining
0	3	3042
1	5	2733
2	7	2555
3	9	2437
4	11	2350
5	14	2322
6	16	2271
7	18	2273
8	20	2238
9	22	2202
10	23	2129
11	25	2072
12	26	2032
13	28	1999
14	29	1934
15	30	1891
16	32	1862
17	34	1881
18	36	1876
19	38	1877
20	40	1869
21	41	1850
22	43	1834
23	44	1820
24	46	1813
25	48	1822
26	50	1818
27	51	1799
28	53	1788
29	55	1780
30	56	1770
31	58	1762
32	59	1731
33	60	1731
34	62	1733
35	64	1737
36	66	1736
37	68	1731
38	69	1723
39	71	1719
40	73	1714
41	74	1710
42	76	1710
43	77	1691
44	79	1686
45	81	1686
46	82	1682
47	84	1678
48	86	1672
49	87	1669
50	89	1661
51	90	1657
52	92	1655
53	94	1653
54	96	1654
55	97	1650
56	99	1648
57	101	1643
58	102	1639
59	104	1637
60	106	1633
61	107	1631
62	109	1630
63	111	1634
64	113	1631
65	115	1628
66	116	1624
67	118	1621
68	119	1618
69	121	1615
70	123	1612
71	125	1613
72	127	1614
73	129	1617
74	131	1621
75	133	1621
76	135	1620
77	137	1621
78	139	1624
79	141	1624
80	143	1625
81	145	1627
82	147	1624
83	149	1626
84	150	1624
85	152	1624
86	154	1621
87	156	1621
88	158	1624
89	160	1624
90	162	1622
91	164	1622
92	166	1621
93	167	1618
94	169	1615
95	171	1612
96	172	1609
97	175	1610
98	176	1610
99	178	1610
100	180	1606
101	182	1603
102	183	1600
103	185	1598
104	187	1597
105	188	1593
106	190	1593
107	192	1591
108	194	1588
109	196	1586
110	197	1584
111	199	1581
112	201	1577
113	202	1577
114	204	1572
115	206	1573
116	208	1572
117	210	1569
118	211	1565
119	213	1563
120	214	1560
121	216	1557
122	218	1556
123	219	1553
124	221	1552
125	223	1550
126	225	1548
127	226	1544
128	228	1541
129	229	1538
130	231	1536
131	233	1534
132	234	1531
133	236	1530
134	238	1528
135	240	1525
136	241	1522
137	243	1520
138	245	1518
139	246	1516
140	248	1514
141	249	1507
142	251	1506
143	253	1506
144	255	1504
145	256	1501
146	258	1499
147	259	1496
148	261	1494
149	263	1491
150	265	1489
151	266	1487
152	268	1485
153	270	1484
154	271	1482
155	273	1479
156	274	1474
157	276	1472
158	277	1468
159	279	1467
160	281	1465
161	282	1462
162	284	1461
163	286	1460
164	288	1458
165	289	1455
166	291	1454
167	293	1453
168	295	1451
169	296	1449
170	298	1448
171	301	1449
172	302	1447
173	304	1445
174	306	1443
175	307	1440
176	309	1438
177	311	1437
178	312	1434
179	314	1432
180	316	1430
181	317	1428
182	319	1427
183	321	1424
184	322	1421
185	324	1419
186	325	1413
187	327	1412
188	328	1410
189	330	1409
190	332	1408
191	334	1406
192	335	1403
193	337	1401
194	338	1399
195	340	1397
196	342	1395
197	344	1393
198	345	1391
199	347	1389
200	349	1388
201	350	1386
202	352	1384
203	354	1381
204	355	1379
205	357	1376
206	358	1375
207	360	1373
208	362	1373
209	364	1372
210	366	1372
211	368	1370
212	370	1367
213	371	1362
214	372	1360
215	374	1358
216	376	1357
217	378	1356
218	379	1354
219	381	1352
220	383	1350
221	384	1348
222	386	1346
223	388	1344
224	389	1342
225	391	1340
226	393	1339
227	395	1338
228	396	1336
229	398	1334
230	400	1332
231	402	1331
232	403	1329
233	405	1326
234	407	1325
235	409	1325
236	411	1325
237	413	1324
238	415	1322
239	416	1319
240	418	1316
241	419	1314
242	421	1313
243	423	1312
244	425	1312
245	427	1310
246	428	1306
247	430	1304
248	432	1302
249	433	1300
250	434	1297
251	436	1296
252	438	1293
253	439	1291
254	441	1290
255	443	1288
256	445	1286
257	446	1284
258	447	1280
259	449	1278
260	451	1278
261	452	1274
262	454	1272
263	455	1269
264	457	1269
265	459	1267
266	461	1265
267	462	1263
268	464	1261
269	465	1258
270	467	1256
271	469	1255
272	471	1254
273	473	1253
274	474	1252
275	476	1250
276	478	1249
277	480	1247
278	482	1245
279	483	1244
280	486	1243
281	487	1242
282	489	1240
283	491	1238
284	492	1234
285	493	1232
286	495	1230
287	496	1228
288	498	1225
289	499	1222
290	501	1221
291	503	1219
292	505	1218
293	506	1216
294	508	1214
295	509	1212
296	511	1209
297	512	1206
298	513	1204
299	515	1203
300	517	1201
301	519	1200
302	521	1199
303	522	1196
304	524	1194
305	525	1191
306	527	1189
307	528	1187
308	530	1186
309	532	1184
310	533	1183
311	535	1181
312	537	1179
313	539	1177
314	540	1175
315	542	1173
316	543	1170
317	545	1168
318	546	1166
319	548	1164
320	549	1162
321	551	1161
322	553	1159
323	554	1157
324	556	1156
325	558	1154
326	560	1152
327	561	1151
328	563	1150
329	565	1147
330	567	1146
331	568	1144
332	570	1142
333	572	1140
334	573	1138
335	575	1136
336	576	1135
337	578	1133
338	580	1131
339	582	1129
340	583	1128
341	585	1126
342	587	1124
343	588	1122
344	590	1120
345	592	1119
346	593	1117
347	595	1115
348	597	1114
349	599	1112
350	600	1111
351	602	1109
352	604	1107
353	606	1106
354	607	1103
355	609	1102
356	611	1100
357	612	1097
358	614	1096
359	615	1094
360	617	1092
361	618	1090
362	620	1088
363	622	1086
364	623	1084
365	625	1083
366	627	1081
367	628	1080
368	630	1078
369	632	1076
370	633	1074
371	635	1072
372	637	1071
373	638	1069
374	640	1067
375	642	1065
376	643	1063
377	645	1062
378	647	1060
379	648	1058
380	650	1056
381	651	1054
382	653	1052
383	655	1051
384	656	1049
385	658	1047
386	660	1045
387	662	1044
388	664	1042
389	665	1041
390	667	1039
391	668	1037
392	670	1035
393	671	1033
394	673	1031
395	674	1029
396	676	1027
397	678	1026
398	679	1024
399	681	1022
400	683	1020
401	685	1019
402	686	1017
403	688	1016
404	690	1014
405	692	1012
406	693	1011
407	695	1009
408	697	1007
409	698	1005
410	700	1003
411	702	1002
412	704	1000
413	705	998
414	707	997
415	709	995
416	710	993
417	712	992
418	714	990
419	715	988
420	718	987
421	720	986
422	727	992
423	729	991
424	731	990
425	734	989
426	736	987
427	741	990
428	743	989
429	746	988
430	747	987
431	749	986
432	752	984
433	757	987
434	759	986
435	763	987
436	765	985
437	767	984
438	769	983
439	772	983
440	774	981
441	776	979
442	778	978
443	779	976
444	781	974
445	783	973
446	785	971
447	787	970
448	790	969
449	792	968
450	794	966
451	795	964
452	797	962
453	799	961
454	800	959
455	802	957
456	804	956
457	806	954
458	808	952
459	810	951
460	811	948
461	812	946
462	814	944
463	816	943
464	818	942
465	820	940
466	822	939
467	824	937
468	826	935
469	828	933
470	830	932
471	832	930
472	834	929
473	836	928
474	838	926
475	839	924
476	841	922
477	842	920
478	844	918
479	846	916
480	847	914
