MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
60,3,4.189654742026425,9.042040056544483,1,1,3,3,0,4,0,5,2,2,0,5,7,5,2003,2003,1,1,12,13,1,5.2832037287379885,2,4,2,2,4,4,2,706,6,0.0,150,856,1,0,1,4,856,854,0.0,1710,1,0.0,2,1,3,0.6931471805599453,2,8,6,0,3,1,2003.0,2,2,548,5,5,2,0,4.127134385045092,0.0,0.0,0.0,0.0,3,4,1,0.0,2,2008,8,4,208500
20,3,4.394449154672439,9.169622538697624,1,1,3,3,0,2,0,24,1,2,0,2,6,8,1976,1976,1,1,8,8,2,0.0,3,4,1,2,4,1,0,978,6,0.0,284,1262,1,0,1,4,1262,0,0.0,1262,0,0.6931471805599453,2,0,3,0.6931471805599453,3,6,6,1,5,1,1976.0,2,2,460,5,5,2,298,0.0,0.0,0.0,0.0,0.0,3,4,1,0.0,5,2007,8,4,181500
60,3,4.23410650459726,9.328212292571072,1,1,0,3,0,4,0,5,2,2,0,5,7,5,2001,2002,1,1,12,13,1,5.093750200806762,2,4,2,2,4,2,2,486,6,0.0,434,920,1,0,1,4,920,866,0.0,1786,1,0.0,2,1,3,0.6931471805599453,2,6,6,1,5,1,2001.0,2,2,608,5,5,2,0,3.7612001156935624,0.0,0.0,0.0,0.0,3,4,1,0.0,9,2008,8,4,223500
70,3,4.110873864173311,9.164401140034737,1,1,0,3,0,0,0,6,2,2,0,5,7,5,1915,1970,1,1,13,15,2,0.0,3,4,0,4,1,4,0,216,6,0.0,540,756,1,2,1,4,961,756,0.0,1717,1,0.0,1,0,3,0.6931471805599453,2,7,6,1,2,5,1998.0,3,3,642,5,5,2,0,3.58351893845611,5.60947179518496,0.0,0.0,0.0,3,4,1,0.0,2,2006,8,0,140000
60,3,4.442651256490317,9.565283817736766,1,1,0,3,0,2,0,15,2,2,0,5,8,5,2000,2000,1,1,12,13,1,5.860786223465865,2,4,2,2,4,0,2,655,6,0.0,490,1145,1,0,1,4,1145,1053,0.0,2198,1,0.0,2,1,4,0.6931471805599453,2,9,6,1,5,1,2000.0,2,3,836,5,5,2,192,4.442651256490317,0.0,0.0,0.0,0.0,3,4,1,0.0,12,2008,8,4,250000
50,3,4.454347296253507,9.55506418479516,1,1,0,3,0,4,0,11,2,2,0,0,5,5,1993,1995,1,1,12,13,2,0.0,3,4,5,2,4,4,2,732,6,0.0,64,796,1,0,1,4,796,566,0.0,1362,1,0.0,1,1,1,0.6931471805599453,3,5,6,0,3,1,1993.0,3,2,480,5,5,2,40,3.4339872044851463,0.0,5.771441123130016,0.0,0.0,3,2,3,6.55250788703459,10,2009,8,4,143000
20,3,4.330733340286331,9.218804450388312,1,1,3,3,0,4,0,21,2,2,0,2,8,5,2004,2005,1,1,12,13,3,5.231108616854587,2,4,2,0,4,0,2,1369,6,0.0,317,1686,1,0,1,4,1694,0,0.0,1694,1,0.0,2,0,3,0.6931471805599453,2,7,6,1,2,1,2004.0,2,2,636,5,5,2,255,4.060443010546419,0.0,0.0,0.0,0.0,3,4,1,0.0,8,2007,8,4,307000
60,3,4.248495242049359,9.247925132303454,1,1,0,3,0,0,0,14,4,2,0,5,7,6,1973,1973,1,1,6,6,3,5.484796933490655,3,4,1,2,4,2,0,859,1,3.4965075614664802,216,1107,1,0,1,4,1107,983,0.0,2090,1,0.0,2,1,3,0.6931471805599453,3,7,6,2,5,1,1973.0,2,2,484,5,5,2,235,5.3230099791384085,5.43372200355424,0.0,0.0,0.0,3,4,3,5.860786223465865,11,2009,8,4,200000
50,4,3.9512437185814275,8.71948076085107,1,1,3,3,0,4,0,17,0,2,0,0,7,5,1931,1950,1,1,3,15,2,0.0,3,4,0,4,4,4,6,0,6,0.0,952,952,1,2,1,1,1022,752,0.0,1774,0,0.0,2,0,2,1.0986122886681098,3,8,2,2,5,5,1931.0,3,2,468,1,5,2,90,0.0,5.327876168789581,0.0,0.0,0.0,3,4,1,0.0,4,2008,8,0,129900
190,3,3.9318256327243257,8.912069097970134,1,1,3,3,0,0,0,3,0,0,1,1,5,6,1939,1950,1,1,8,8,2,0.0,3,4,0,4,4,4,2,851,6,0.0,140,991,1,0,1,4,1077,0,0.0,1077,1,0.0,1,0,2,1.0986122886681098,3,5,6,2,5,1,1939.0,2,1,205,2,5,2,0,1.6094379124341003,0.0,0.0,0.0,0.0,3,4,1,0.0,1,2008,8,4,118000
