MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtUnfSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice,TotalSF
60,4.189654742026425,9.042040056544485,7,5,2003,2003,5.2832037287379885,150,854,0.0,1710,1,0.0,2,1,3,0.6931471805599453,8,0,2003.0,2,548,0,4.127134385045092,0.0,0.0,0.0,0.0,0.0,2,2008,208500,1712
20,4.394449154672439,9.169622538697624,6,8,1976,1976,0.0,284,0,0.0,1262,0,0.6931471805599453,2,0,3,0.6931471805599453,6,1,1976.0,2,460,298,0.0,0.0,0.0,0.0,0.0,0.0,5,2007,181500,2524
60,4.23410650459726,9.328212292571072,7,5,2001,2002,5.093750200806762,434,866,0.0,1786,1,0.0,2,1,3,0.6931471805599453,6,1,2001.0,2,608,0,3.7612001156935615,0.0,0.0,0.0,0.0,0.0,9,2008,223500,1840
70,4.110873864173311,9.164401140034736,7,5,1915,1970,0.0,540,756,0.0,1717,1,0.0,1,0,3,0.6931471805599453,7,1,1998.0,3,642,0,3.58351893845611,5.60947179518496,0.0,0.0,0.0,0.0,2,2006,140000,1717
60,4.442651256490317,9.565283817736766,8,5,2000,2000,5.860786223465865,490,1053,0.0,2198,1,0.0,2,1,4,0.6931471805599453,9,1,2000.0,3,836,192,4.442651256490317,0.0,0.0,0.0,0.0,0.0,12,2008,250000,2290
50,4.454347296253507,9.55506418479516,5,5,1993,1995,0.0,64,566,0.0,1362,1,0.0,1,1,1,0.6931471805599453,5,0,1993.0,2,480,40,3.4339872044851463,0.0,5.771441123130016,0.0,0.0,6.55250788703459,10,2009,143000,1592
20,4.330733340286331,9.218804450388312,8,5,2004,2005,5.231108616854587,317,0,0.0,1694,1,0.0,2,0,3,0.6931471805599453,7,1,2004.0,2,636,255,4.060443010546419,0.0,0.0,0.0,0.0,0.0,8,2007,307000,3380
60,4.248495242049359,9.247925132303454,7,6,1973,1973,5.484796933490655,216,983,0.0,2090,1,0.0,2,1,3,0.6931471805599453,7,2,1973.0,2,484,235,5.3230099791384085,5.43372200355424,0.0,0.0,0.0,5.860786223465865,11,2009,200000,2214
50,3.951243718581428,8.71948076085107,7,5,1931,1950,0.0,952,752,0.0,1774,0,0.0,2,0,2,1.0986122886681098,8,2,1931.0,2,468,90,0.0,5.327876168789581,0.0,0.0,0.0,0.0,4,2008,129900,1974
190,3.9318256327243257,8.912069097970134,5,6,1939,1950,0.0,140,0,0.0,1077,1,0.0,1,0,2,1.0986122886681098,5,2,1939.0,1,205,0,1.6094379124341005,0.0,0.0,0.0,0.0,0.0,1,2008,118000,2068
20,4.262679877041316,9.32375833901174,5,5,1965,1965,0.0,134,0,0.0,1040,1,0.0,1,0,3,0.6931471805599453,5,0,1965.0,1,384,0,0.0,0.0,0.0,0.0,0.0,0.0,2,2008,129500,2080
60,4.454347296253507,9.386392315756542,9,5,2005,2006,5.659482215759621,177,1142,0.0,2324,1,0.0,3,0,4,0.6931471805599453,11,2,2005.0,3,736,147,3.091042453358316,0.0,0.0,0.0,0.0,0.0,7,2006,345000,2357
20,4.248495242049359,9.470317173335742,5,6,1962,1962,0.0,175,0,0.0,912,1,0.0,1,0,2,0.6931471805599453,4,0,1962.0,1,352,140,0.0,0.0,0.0,5.176149732573829,0.0,0.0,9,2008,144000,1824
20,4.5217885770490405,9.273596821611198,7,5,2006,2007,5.726847747587197,1494,0,0.0,1494,0,0.0,2,0,3,0.6931471805599453,7,1,2006.0,3,840,160,3.5263605246161616,0.0,0.0,0.0,0.0,0.0,8,2007,279500,2988
20,4.248495242049359,9.298442820197728,6,5,1960,1960,5.3612921657094255,520,0,0.0,1253,1,0.0,1,1,2,0.6931471805599453,5,1,1960.0,1,352,0,5.365976015021851,5.176149732573829,0.0,0.0,0.0,0.0,5,2008,157000,2506
45,3.951243718581428,8.71948076085107,7,8,1929,2001,0.0,832,0,0.0,854,0,0.0,1,0,2,0.6931471805599453,5,0,1991.0,2,576,48,4.727387818712341,0.0,0.0,0.0,0.0,0.0,7,2007,132000,1686
20,4.248495242049359,9.32741204356202,6,7,1970,1970,5.198497031265826,426,0,0.0,1004,1,0.0,1,0,2,0.6931471805599453,5,1,1970.0,2,480,0,0.0,0.0,0.0,0.0,0.0,6.55250788703459,3,2010,149000,2008
90,4.290459441148391,9.286560397887593,4,5,1967,1967,0.0,0,0,0.0,1296,0,0.0,2,0,2,1.0986122886681098,6,0,1967.0,2,516,0,0.0,0.0,0.0,0.0,0.0,6.2166061010848646,10,2006,90000,1296
20,4.204692619390966,9.524859098381524,5,5,2004,2004,0.0,468,0,0.0,1114,1,0.0,1,1,3,0.6931471805599453,6,0,2004.0,2,576,0,4.634728988229636,0.0,0.0,0.0,0.0,0.0,6,2008,159000,2228
20,4.262679877041316,8.93075873555827,5,6,1958,1965,0.0,525,0,0.0,1339,0,0.0,1,0,3,0.6931471805599453,6,0,1958.0,1,294,0,0.0,0.0,0.0,0.0,0.0,0.0,5,2009,139000,2368
60,4.624972813284271,9.562123369834488,8,5,2005,2006,5.942799375126701,1158,1218,0.0,2376,0,0.0,3,1,4,0.6931471805599453,9,1,2005.0,3,853,240,5.043425116919247,0.0,0.0,0.0,0.0,0.0,11,2006,325300,2316
