MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
60,RL,4.189654742026425,9.042040056544483,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.2832037287379885,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,0.0,150,856,GasA,Ex,Y,SBrkr,856,854,0.0,1710,1,0.0,2,1,3,0.6931471805599453,Gd,8,Typ,0,NA,Attchd,2003.0,RFn,2,548,TA,TA,Y,0,4.127134385045092,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,2,2008,WD,Normal,208500
20,RL,4.394449154672439,9.169622538697624,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,0.0,284,1262,GasA,Ex,Y,SBrkr,1262,0,0.0,1262,0,0.6931471805599453,2,0,3,0.6931471805599453,TA,6,Typ,1,TA,Attchd,1976.0,RFn,2,460,TA,TA,Y,298,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,5,2007,WD,Normal,181500
60,RL,4.23410650459726,9.328212292571072,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.093750200806762,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,0.0,434,920,GasA,Ex,Y,SBrkr,920,866,0.0,1786,1,0.0,2,1,3,0.6931471805599453,Gd,6,Typ,1,TA,Attchd,2001.0,RFn,2,608,TA,TA,Y,0,3.7612001156935624,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,9,2008,WD,Normal,223500
70,RL,4.110873864173311,9.164401140034737,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,0.0,540,756,GasA,Gd,Y,SBrkr,961,756,0.0,1717,1,0.0,1,0,3,0.6931471805599453,Gd,7,Typ,1,Gd,Detchd,1998.0,Unf,3,642,TA,TA,Y,0,3.58351893845611,5.60947179518496,0.0,0.0,0.0,NA,NA,NA,0.0,2,2006,WD,Abnorml,140000
60,RL,4.442651256490317,9.565283817736766,Pave,NA,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.860786223465865,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,0.0,490,1145,GasA,Ex,Y,SBrkr,1145,1053,0.0,2198,1,0.0,2,1,4,0.6931471805599453,Gd,9,Typ,1,TA,Attchd,2000.0,RFn,3,836,TA,TA,Y,192,4.442651256490317,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,12,2008,WD,Normal,250000
50,RL,4.454347296253507,9.55506418479516,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732,Unf,0.0,64,796,GasA,Ex,Y,SBrkr,796,566,0.0,1362,1,0.0,1,1,1,0.6931471805599453,TA,5,Typ,0,NA,Attchd,1993.0,Unf,2,480,TA,TA,Y,40,3.4339872044851463,0.0,5.771441123130016,0.0,0.0,NA,MnPrv,Shed,6.55250788703459,10,2009,WD,Normal,143000
20,RL,4.330733340286331,9.218804450388312,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,5.231108616854587,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,0.0,317,1686,GasA,Ex,Y,SBrkr,1694,0,0.0,1694,1,0.0,2,0,3,0.6931471805599453,Gd,7,Typ,1,Gd,Attchd,2004.0,RFn,2,636,TA,TA,Y,255,4.060443010546419,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,8,2007,WD,Normal,307000
60,RL,4.248495242049359,9.247925132303454,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,5.484796933490655,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,3.4965075614664802,216,1107,GasA,Ex,Y,SBrkr,1107,983,0.0,2090,1,0.0,2,1,3,0.6931471805599453,TA,7,Typ,2,TA,Attchd,1973.0,RFn,2,484,TA,TA,Y,235,5.3230099791384085,5.43372200355424,0.0,0.0,0.0,NA,NA,Shed,5.860786223465865,11,2009,WD,Normal,200000
50,RM,3.9512437185814275,8.71948076085107,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0.0,952,952,GasA,Gd,Y,FuseF,1022,752,0.0,1774,0,0.0,2,0,2,1.0986122886681098,TA,8,Min1,2,TA,Detchd,1931.0,Unf,2,468,Fa,TA,Y,90,0.0,5.327876168789581,0.0,0.0,0.0,NA,NA,NA,0.0,4,2008,WD,Abnorml,129900
190,RL,3.9318256327243257,8.912069097970134,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,0.0,140,991,GasA,Ex,Y,SBrkr,1077,0,0.0,1077,1,0.0,1,0,2,1.0986122886681098,TA,5,Typ,2,TA,Attchd,1939.0,RFn,1,205,Gd,TA,Y,0,1.6094379124341003,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,1,2008,WD,Normal,118000
