iter	RMSE
0	77291.70968
1	75196.58757
2	73047.54806
3	71257.84512
4	69496.11476
5	67731.3153
6	66056.74948
7	64273.1748
8	62761.8434
9	61177.2967
10	59669.16104
11	58229.04453
12	56983.78909
13	55785.44199
14	54482.62752
15	53226.89197
16	52010.01622
17	51021.76085
18	50014.78853
19	48961.35329
20	47976.43423
21	46862.03533
22	46103.32284
23	45244.73053
24	44421.20918
25	43727.05526
26	42949.40185
27	42248.94951
28	41495.78619
29	40736.63653
30	39952.47332
31	39305.09582
32	38726.00809
33	38114.04228
34	37594.62989
35	37038.37494
36	36425.95255
37	35881.85376
38	35411.1224
39	34982.44947
40	34433.36544
41	33944.64084
42	33497.69639
43	33036.3716
44	32572.52753
45	32180.45979
46	31807.73608
47	31443.53593
48	31049.77276
49	30720.75273
50	30361.31594
51	30069.84635
52	29749.16895
53	29459.61613
54	29149.65636
55	28837.37406
56	28577.47658
57	28337.76768
58	28088.54015
59	27822.44361
60	27544.48623
61	27343.36868
62	27070.22881
63	26826.30432
64	26558.66205
65	26352.20825
66	26179.22368
67	25969.21068
68	25810.90947
69	25594.8551
70	25422.65414
71	25271.95257
72	25084.92078
73	24963.88757
74	24810.25424
75	24656.1074
76	24511.61197
77	24350.84226
78	24200.32397
79	24039.69865
80	23909.25522
81	23757.25445
82	23625.6645
83	23496.01428
84	23330.06598
85	23228.95186
86	23104.98055
87	22977.39203
88	22846.07836
89	22759.92814
90	22661.55101
91	22556.33483
92	22466.15556
93	22357.38782
94	22261.47678
95	22150.5011
96	22035.49361
97	21960.70478
98	21858.48727
99	21788.38963
100	21706.26494
101	21613.98311
102	21523.17866
103	21466.98609
104	21419.59235
105	21317.85018
106	21253.95059
107	21179.17766
108	21100.02114
109	21021.17027
110	20917.85649
111	20848.23099
112	20821.1276
113	20761.1422
114	20689.15468
115	20610.48379
116	20535.61006
117	20469.61101
118	20406.65546
119	20357.15638
120	20261.60707
121	20206.09575
122	20158.95505
123	20092.54774
124	20033.5103
125	19989.54295
126	19928.72458
127	19856.85035
128	19786.09599
129	19732.43193
130	19645.1334
131	19583.80855
132	19542.93668
133	19483.57948
134	19436.441
135	19409.14687
136	19380.2122
137	19358.18209
138	19320.35553
139	19279.63868
140	19240.65198
141	19174.22214
142	19124.20139
143	19065.57967
144	19019.70175
145	18988.48641
146	18951.00284
147	18906.24638
148	18849.26997
149	18781.88387
150	18761.27978
151	18725.95031
152	18689.57912
153	18648.3567
154	18617.76918
155	18588.86372
156	18559.81785
157	18513.96004
158	18473.01581
159	18453.4414
160	18424.23495
161	18384.45084
162	18351.3567
163	18296.21341
164	18235.67888
165	18208.50003
166	18168.04817
167	18121.61272
168	18083.44284
169	18035.58042
170	18000.83599
171	17966.35178
172	17945.4364
173	17906.96452
174	17876.20491
175	17853.6459
176	17819.6787
177	17769.40364
178	17717.46832
179	17683.69922
180	17617.29517
181	17587.32502
182	17539.30663
183	17512.22058
184	17493.89955
185	17462.27992
186	17430.26977
187	17385.91881
188	17354.05311
189	17328.41511
190	17283.0566
191	17240.07326
192	17211.37725
193	17140.51019
194	17107.92324
195	17070.13537
196	17047.22303
197	17030.07111
198	16967.65972
199	16934.45033
200	16880.47011
201	16839.40471
202	16815.28777
203	16786.45801
204	16741.01948
205	16719.02411
206	16663.4007
207	16615.83532
208	16588.94425
209	16563.06434
210	16547.79407
211	16500.23363
212	16452.01154
213	16419.56827
214	16373.0324
215	16318.51888
216	16279.23632
217	16241.73685
218	16209.62363
219	16200.95964
220	16182.89795
221	16164.35159
222	16137.71577
223	16092.2333
224	16065.91842
225	16050.01543
226	16025.30484
227	16005.93517
228	15990.61468
229	15952.82114
230	15911.94499
231	15875.4078
232	15866.08516
233	15856.17361
234	15820.2133
235	15784.322
236	15769.10757
237	15739.72095
238	15728.08223
239	15702.21178
240	15690.72882
241	15649.75664
242	15611.83576
243	15594.61257
244	15558.83038
245	15528.44756
246	15505.84071
247	15490.15867
248	15473.48768
249	15437.51815
250	15421.35362
251	15409.48303
252	15381.28167
253	15348.5787
254	15317.59826
255	15284.77585
256	15269.93258
257	15237.79686
258	15193.97801
259	15169.61352
260	15156.67562
261	15110.62617
262	15078.19946
263	15048.43178
264	15037.4874
265	15010.30346
266	14985.16584
267	14969.78628
268	14944.24586
269	14908.4912
270	14869.43239
271	14840.75913
272	14809.14109
273	14768.19555
274	14750.37483
275	14741.10494
276	14720.92138
277	14687.62553
278	14677.75456
279	14672.81348
280	14643.092
281	14623.41645
282	14617.96118
283	14586.08351
284	14556.22988
285	14523.69497
286	14495.78217
287	14486.7519
288	14463.81148
289	14423.45614
290	14386.01661
291	14344.04586
292	14314.94143
293	14285.31593
294	14278.60156
295	14258.72339
296	14227.83041
297	14219.299
298	14203.01206
299	14166.40911
300	14140.73974
301	14104.1653
302	14075.90457
303	14048.01003
304	14010.4245
305	13999.97985
306	13986.5236
307	13963.19631
308	13939.62766
309	13905.55028
310	13878.31144
311	13855.50891
312	13831.6428
313	13812.31679
314	13782.89455
315	13770.04692
316	13737.37841
317	13720.85526
318	13693.53496
319	13672.88308
320	13652.60609
321	13625.67218
322	13596.49866
323	13576.21074
324	13557.83513
325	13538.54459
326	13518.9014
327	13487.23368
328	13474.03541
329	13451.31238
330	13441.19845
331	13411.26219
332	13377.79888
333	13351.0913
334	13330.9071
335	13311.93111
336	13288.6098
337	13265.62796
338	13245.38005
339	13235.77123
340	13204.51083
341	13185.90995
342	13178.31543
343	13167.77778
344	13134.76577
345	13103.03289
346	13100.23055
347	13077.33888
348	13051.35521
349	13031.22491
350	13012.06871
351	12974.94461
352	12964.07155
353	12943.20361
354	12926.67955
355	12908.77917
356	12902.02802
357	12884.15552
358	12865.46295
359	12847.94692
360	12823.41999
361	12809.37708
362	12784.14031
363	12767.7528
364	12751.35295
365	12736.45262
366	12710.83267
367	12683.95163
368	12674.20193
369	12654.02819
370	12628.9736
371	12610.75285
372	12583.40282
373	12564.70203
374	12546.49522
375	12515.4418
376	12490.24696
377	12467.3437
378	12450.6168
379	12433.43989
380	12421.14086
381	12398.32688
382	12391.39043
383	12385.83105
384	12364.71617
385	12339.08752
386	12317.16938
387	12309.2426
388	12294.71585
389	12290.79422
390	12285.9335
391	12262.74403
392	12248.06097
393	12245.26732
394	12231.31485
395	12189.14085
396	12186.81233
397	12158.35142
398	12148.87878
399	12136.28891
400	12109.93075
401	12086.60876
402	12077.98372
403	12059.0997
404	12031.782
405	12019.33708
406	12003.2675
407	12001.57575
408	11984.53763
409	11970.27321
410	11946.31703
411	11925.10051
412	11923.9014
413	11908.12203
414	11906.76255
415	11891.33997
416	11873.41043
417	11859.16806
418	11835.21541
419	11819.33947
420	11794.89516
421	11774.51385
422	11757.28693
423	11739.50249
424	11736.29639
425	11733.20991
426	11710.19449
427	11692.0347
428	11671.87708
429	11655.60471
430	11633.1446
431	11604.86753
432	11589.6857
433	11572.04833
434	11555.6467
435	11531.54957
436	11512.53861
437	11491.25726
438	11471.49233
439	11451.74257
440	11437.21752
441	11424.18825
442	11406.81841
443	11395.26975
444	11382.52401
445	11369.57602
446	11335.38446
447	11313.40197
448	11312.03403
449	11292.60962
450	11291.11476
451	11272.70556
452	11253.26407
