iter	Passed	Remaining
0	7	7271
1	14	7246
2	22	7463
3	29	7372
4	37	7436
5	43	7260
6	51	7301
7	57	7068
8	63	6993
9	71	7029
10	78	7038
11	84	6983
12	89	6831
13	94	6686
14	100	6619
15	105	6498
16	110	6399
17	115	6321
18	120	6225
19	125	6173
20	131	6112
21	135	6040
22	140	5967
23	145	5928
24	151	5891
25	155	5823
26	161	5811
27	166	5792
28	172	5780
29	178	5768
30	184	5765
31	188	5711
32	194	5692
33	199	5663
34	203	5623
35	208	5595
36	213	5558
37	217	5518
38	222	5492
39	227	5471
40	232	5434
41	236	5401
42	242	5386
43	246	5354
44	250	5321
45	255	5295
46	260	5279
47	264	5250
48	269	5223
49	275	5237
50	281	5236
51	286	5223
52	291	5208
53	295	5184
54	300	5165
55	305	5153
56	310	5129
57	314	5106
58	319	5093
59	324	5079
60	328	5057
61	332	5034
62	338	5030
63	342	5011
64	347	4993
65	352	4982
66	356	4970
67	361	4951
68	365	4931
69	370	4928
70	375	4911
71	379	4894
72	384	4883
73	389	4877
74	395	4877
75	401	4886
76	407	4880
77	412	4872
78	417	4871
79	422	4855
80	426	4840
81	431	4832
82	436	4822
83	440	4805
84	445	4790
85	450	4783
86	454	4774
87	459	4760
88	464	4750
89	468	4739
90	473	4730
91	477	4717
92	483	4710
93	487	4696
94	491	4684
95	496	4677
96	501	4671
97	507	4667
98	512	4665
99	517	4654
100	521	4642
101	526	4632
102	531	4630
103	536	4619
104	540	4606
105	546	4608
106	551	4603
107	556	4598
108	562	4595
109	567	4588
110	571	4580
111	577	4575
112	581	4564
113	585	4553
114	590	4544
115	596	4542
116	600	4535
117	606	4529
118	611	4524
119	615	4514
120	619	4503
121	624	4496
122	629	4489
123	633	4478
124	638	4469
125	643	4465
126	648	4455
127	652	4446
128	658	4443
129	662	4434
130	667	4426
131	673	4431
132	679	4429
133	684	4425
134	690	4422
135	695	4417
136	699	4408
137	704	4401
138	709	4396
139	715	4393
140	720	4391
141	725	4383
142	730	4375
143	735	4369
144	739	4363
145	744	4354
146	748	4344
147	754	4340
148	758	4331
149	763	4324
150	768	4320
151	773	4316
152	778	4311
153	784	4309
154	788	4300
155	793	4291
156	797	4284
157	803	4283
158	809	4281
159	814	4277
160	819	4271
161	823	4261
162	828	4252
163	833	4248
164	837	4239
165	842	4232
166	847	4225
167	851	4218
168	856	4209
169	860	4202
170	866	4200
171	870	4191
172	874	4182
173	880	4179
174	885	4173
175	889	4165
176	895	4161
177	900	4156
178	904	4148
179	909	4142
180	914	4139
181	919	4134
182	925	4130
183	930	4125
184	934	4117
185	939	4110
186	944	4108
187	949	4101
188	954	4094
189	959	4092
190	964	4087
191	969	4081
192	974	4076
193	979	4071
194	984	4065
195	989	4060
196	995	4058
197	1000	4053
198	1005	4048
199	1010	4043
200	1016	4039
201	1021	4035
202	1026	4031
203	1032	4027
204	1037	4025
205	1042	4019
206	1047	4011
207	1051	4004
208	1056	3999
209	1061	3992
210	1065	3984
211	1070	3979
212	1075	3972
213	1079	3965
214	1084	3958
215	1089	3953
216	1093	3946
217	1098	3939
218	1103	3934
219	1107	3927
220	1111	3919
221	1116	3912
222	1121	3908
223	1127	3904
224	1132	3901
225	1137	3897
226	1143	3893
227	1148	3887
228	1153	3883
229	1158	3876
230	1162	3869
231	1167	3865
232	1171	3857
233	1175	3849
234	1180	3842
235	1185	3838
236	1190	3832
237	1194	3824
238	1200	3821
239	1205	3816
240	1209	3809
241	1214	3805
242	1219	3797
243	1223	3790
244	1228	3784
245	1233	3779
246	1238	3774
247	1243	3771
248	1248	3766
249	1252	3758
250	1257	3751
251	1262	3746
252	1266	3740
253	1271	3734
254	1275	3727
255	1280	3722
256	1285	3716
257	1289	3709
258	1295	3705
259	1300	3700
260	1305	3696
261	1311	3694
262	1317	3690
263	1321	3685
264	1327	3682
265	1332	3677
266	1337	3673
267	1343	3669
268	1348	3665
269	1354	3663
270	1360	3660
271	1365	3655
272	1371	3651
273	1376	3647
274	1381	3640
275	1385	3633
276	1390	3629
277	1394	3622
278	1399	3616
279	1403	3610
280	1408	3604
281	1413	3598
282	1417	3591
283	1422	3587
284	1427	3581
285	1431	3574
286	1436	3568
287	1441	3564
288	1446	3559
289	1451	3554
290	1456	3549
291	1461	3543
292	1465	3537
293	1471	3532
294	1475	3527
295	1480	3521
296	1485	3516
297	1490	3510
298	1494	3503
299	1498	3497
300	1504	3493
301	1508	3487
302	1513	3480
303	1517	3475
304	1522	3470
305	1527	3463
306	1531	3456
307	1536	3451
308	1540	3445
309	1544	3438
310	1549	3432
311	1554	3427
312	1559	3422
313	1564	3418
314	1569	3412
315	1573	3406
316	1578	3400
317	1583	3396
318	1587	3390
319	1592	3383
320	1597	3379
321	1603	3375
322	1608	3371
323	1613	3367
324	1618	3361
325	1622	3355
326	1627	3349
327	1633	3345
328	1638	3340
329	1643	3336
330	1649	3332
331	1654	3328
332	1660	3325
333	1665	3320
334	1670	3316
335	1675	3311
336	1681	3308
337	1687	3304
338	1692	3299
339	1697	3294
340	1702	3289
341	1707	3284
342	1712	3280
343	1717	3275
344	1722	3271
345	1728	3266
346	1732	3260
347	1737	3255
348	1743	3251
349	1748	3246
350	1753	3241
351	1758	3237
352	1763	3232
353	1768	3228
354	1774	3223
355	1778	3218
356	1783	3212
357	1789	3208
358	1794	3204
359	1799	3199
360	1804	3194
361	1809	3189
362	1815	3185
363	1819	3179
364	1824	3174
365	1829	3169
366	1834	3163
367	1839	3159
368	1844	3154
369	1849	3148
370	1855	3146
371	1861	3141
372	1866	3138
373	1872	3134
374	1877	3128
375	1882	3124
376	1888	3120
377	1893	3115
378	1898	3110
379	1903	3106
380	1908	3100
381	1913	3095
382	1918	3090
383	1923	3085
384	1928	3080
385	1933	3076
386	1938	3071
387	1944	3066
388	1949	3062
389	1954	3057
390	1959	3052
391	1965	3048
392	1970	3042
393	1975	3038
394	1981	3034
395	1986	3029
396	1991	3024
397	1997	3021
398	2003	3017
399	2008	3012
400	2014	3008
401	2019	3004
402	2024	2998
403	2029	2994
404	2034	2989
405	2039	2983
406	2044	2979
407	2049	2973
408	2054	2968
409	2059	2964
410	2064	2959
411	2070	2955
412	2075	2950
413	2081	2945
414	2085	2940
415	2091	2935
416	2095	2930
417	2100	2924
418	2104	2918
419	2109	2913
420	2114	2907
421	2119	2902
422	2124	2897
423	2128	2891
424	2132	2885
425	2137	2879
426	2142	2875
427	2147	2869
428	2151	2863
429	2156	2859
430	2161	2853
431	2165	2847
432	2170	2841
433	2175	2837
434	2181	2833
435	2186	2828
436	2191	2822
437	2196	2817
438	2201	2813
439	2206	2807
440	2210	2802
441	2215	2796
442	2219	2791
443	2224	2785
444	2228	2779
445	2233	2774
446	2238	2769
447	2242	2763
448	2247	2758
449	2252	2752
450	2256	2747
451	2261	2741
452	2266	2736
453	2271	2731
454	2276	2726
455	2281	2721
456	2286	2716
457	2290	2710
458	2295	2705
459	2299	2699
460	2303	2693
461	2308	2688
462	2313	2683
463	2317	2677
464	2322	2671
465	2327	2666
466	2332	2661
467	2336	2656
468	2341	2650
469	2347	2646
470	2351	2641
471	2356	2635
472	2361	2630
473	2365	2625
474	2370	2619
475	2374	2614
476	2379	2609
477	2385	2604
478	2391	2600
479	2396	2595
480	2400	2590
481	2405	2585
482	2410	2580
483	2414	2574
484	2419	2568
485	2423	2563
486	2428	2558
487	2433	2552
488	2437	2547
489	2443	2542
490	2447	2537
491	2452	2531
492	2457	2527
493	2461	2521
494	2466	2516
495	2471	2510
496	2475	2505
497	2480	2500
498	2485	2495
499	2490	2490
500	2496	2486
501	2502	2482
502	2507	2477
503	2512	2472
504	2516	2467
505	2523	2463
506	2528	2458
507	2532	2452
508	2538	2448
509	2542	2443
510	2548	2438
511	2553	2433
512	2557	2428
513	2562	2422
514	2567	2418
515	2572	2412
516	2577	2407
517	2582	2402
518	2587	2398
519	2593	2393
520	2597	2388
521	2602	2383
522	2607	2377
523	2611	2372
524	2617	2367
525	2622	2363
526	2626	2357
527	2631	2351
528	2636	2347
529	2640	2341
530	2644	2335
531	2650	2331
532	2655	2326
533	2660	2321
534	2665	2316
535	2670	2311
536	2674	2306
537	2679	2301
538	2684	2296
539	2690	2291
540	2695	2286
541	2700	2281
542	2704	2276
543	2709	2271
544	2714	2265
545	2718	2260
546	2723	2255
547	2728	2250
548	2733	2245
549	2737	2239
550	2742	2234
551	2746	2229
552	2751	2223
553	2755	2218
554	2760	2213
555	2764	2207
556	2769	2202
557	2773	2197
558	2779	2192
559	2784	2188
560	2789	2182
561	2795	2178
562	2800	2173
563	2806	2169
564	2813	2166
565	2820	2162
566	2826	2158
567	2831	2153
568	2836	2148
569	2841	2143
570	2846	2138
571	2851	2133
572	2856	2128
573	2860	2122
574	2864	2117
575	2869	2111
576	2874	2107
577	2878	2101
578	2883	2096
579	2888	2091
580	2892	2086
581	2897	2080
582	2902	2075
583	2907	2071
584	2912	2066
585	2917	2061
586	2922	2056
587	2927	2051
588	2931	2045
589	2937	2041
590	2942	2036
591	2946	2030
592	2951	2025
593	2956	2020
594	2960	2015
595	2965	2010
596	2970	2005
597	2976	2000
598	2981	1995
599	2986	1990
600	2990	1985
601	2995	1980
602	3001	1975
603	3006	1971
604	3010	1965
605	3016	1961
606	3021	1956
607	3027	1951
608	3032	1946
609	3036	1941
610	3040	1936
611	3045	1930
612	3050	1925
613	3054	1920
614	3058	1914
615	3063	1909
616	3068	1904
617	3072	1899
618	3077	1893
619	3082	1889
620	3086	1883
621	3091	1878
622	3096	1873
623	3101	1868
624	3105	1863
625	3110	1858
626	3115	1853
627	3121	1849
628	3126	1844
629	3130	1838
630	3135	1833
631	3139	1828
632	3144	1823
633	3149	1818
634	3153	1812
635	3158	1807
636	3162	1802
637	3167	1797
638	3171	1791
639	3177	1787
640	3181	1782
641	3186	1776
642	3191	1772
643	3197	1767
644	3201	1762
645	3206	1757
646	3211	1752
647	3216	1747
648	3221	1742
649	3226	1737
650	3230	1731
651	3234	1726
652	3239	1721
653	3244	1716
654	3248	1711
655	3253	1706
656	3258	1701
657	3263	1696
658	3267	1690
659	3272	1685
660	3277	1680
661	3281	1675
662	3288	1671
663	3293	1666
664	3297	1661
665	3302	1656
666	3307	1651
667	3312	1646
668	3316	1641
669	3321	1636
670	3326	1631
671	3332	1626
672	3336	1621
673	3341	1616
674	3345	1610
675	3350	1606
676	3355	1600
677	3359	1595
678	3364	1590
679	3369	1585
680	3374	1580
681	3378	1575
682	3383	1570
683	3388	1565
684	3392	1560
685	3396	1554
686	3401	1549
687	3406	1544
688	3410	1539
689	3415	1534
690	3420	1529
691	3426	1524
692	3430	1519
693	3434	1514
694	3439	1509
695	3443	1503
696	3448	1499
697	3452	1493
698	3457	1488
699	3462	1483
700	3467	1478
701	3471	1473
702	3476	1468
703	3481	1463
704	3485	1458
705	3490	1453
706	3495	1448
707	3499	1443
708	3504	1438
709	3509	1433
710	3514	1428
711	3518	1423
712	3523	1418
713	3529	1413
714	3534	1408
715	3539	1403
716	3543	1398
717	3548	1393
718	3552	1388
719	3557	1383
720	3562	1378
721	3566	1373
722	3572	1368
723	3578	1364
724	3582	1358
725	3587	1354
726	3592	1348
727	3596	1343
728	3601	1338
729	3607	1334
730	3611	1329
731	3616	1323
732	3621	1319
733	3625	1313
734	3629	1308
735	3634	1303
736	3639	1298
737	3645	1294
738	3649	1289
739	3654	1284
740	3659	1279
741	3664	1274
742	3669	1269
743	3673	1263
744	3677	1258
745	3683	1254
746	3687	1249
747	3692	1243
748	3696	1238
749	3701	1233
750	3706	1228
751	3710	1223
752	3715	1218
753	3720	1213
754	3724	1208
755	3729	1203
756	3734	1198
757	3739	1193
758	3744	1188
759	3749	1184
760	3753	1178
761	3758	1173
762	3763	1168
763	3767	1163
764	3771	1158
765	3776	1153
766	3782	1148
767	3786	1143
768	3791	1138
769	3796	1134
770	3800	1128
771	3805	1123
772	3810	1118
773	3814	1113
774	3819	1108
775	3823	1103
776	3829	1098
777	3834	1094
778	3839	1089
779	3845	1084
780	3850	1079
781	3854	1074
782	3860	1069
783	3864	1064
784	3869	1059
785	3874	1054
786	3878	1049
787	3883	1044
788	3887	1039
789	3892	1034
790	3896	1029
791	3901	1024
792	3905	1019
793	3910	1014
794	3914	1009
795	3919	1004
796	3924	999
797	3929	994
798	3933	989
799	3938	984
800	3943	979
801	3949	975
802	3955	970
803	3959	965
804	3964	960
805	3970	955
806	3976	950
807	3980	945
808	3986	941
809	3991	936
810	3996	931
811	4000	926
812	4004	921
813	4009	916
814	4013	911
815	4018	906
816	4022	901
817	4027	896
818	4032	891
819	4037	886
820	4042	881
821	4047	876
822	4052	871
823	4056	866
824	4061	861
825	4066	856
826	4070	851
827	4075	846
828	4079	841
829	4084	836
830	4088	831
831	4093	826
832	4098	821
833	4103	816
834	4107	811
835	4112	806
836	4117	801
837	4122	796
838	4126	791
839	4131	786
840	4136	782
841	4142	777
842	4147	772
843	4152	767
844	4156	762
845	4160	757
846	4165	752
847	4169	747
848	4174	742
849	4179	737
850	4183	732
851	4187	727
852	4192	722
853	4197	717
854	4203	712
855	4207	707
856	4212	702
857	4217	697
858	4221	692
859	4227	688
860	4231	683
861	4235	678
862	4240	673
863	4246	668
864	4252	663
865	4257	658
866	4262	653
867	4266	648
868	4270	643
869	4275	638
870	4279	633
871	4284	628
872	4289	624
873	4294	619
874	4298	614
875	4302	609
876	4308	604
877	4312	599
878	4317	594
879	4322	589
880	4326	584
881	4330	579
882	4335	574
883	4341	569
884	4348	565
885	4354	560
886	4360	555
887	4365	550
888	4372	545
889	4378	541
890	4383	536
891	4388	531
892	4393	526
893	4398	521
894	4403	516
895	4408	511
896	4412	506
897	4418	501
898	4422	496
899	4426	491
900	4431	486
901	4436	481
902	4440	477
903	4444	472
904	4450	467
905	4455	462
906	4460	457
907	4465	452
908	4469	447
909	4474	442
910	4479	437
911	4484	432
912	4488	427
913	4493	422
914	4498	417
915	4503	412
916	4507	407
917	4512	403
918	4517	398
919	4521	393
920	4526	388
921	4531	383
922	4536	378
923	4540	373
924	4545	368
925	4550	363
926	4556	358
927	4561	353
928	4565	348
929	4570	344
930	4574	339
931	4579	334
932	4584	329
933	4588	324
934	4593	319
935	4598	314
936	4602	309
937	4606	304
938	4611	299
939	4616	294
940	4620	289
941	4625	284
942	4630	279
943	4634	274
944	4639	270
945	4644	265
946	4649	260
947	4653	255
948	4658	250
949	4663	245
950	4669	240
951	4674	235
952	4678	230
953	4683	225
954	4688	220
955	4693	216
956	4697	211
957	4701	206
958	4707	201
959	4711	196
960	4715	191
961	4721	186
962	4726	181
963	4730	176
964	4734	171
965	4739	166
966	4744	161
967	4748	156
968	4754	152
969	4759	147
970	4763	142
971	4768	137
972	4774	132
973	4780	127
974	4786	122
975	4790	117
976	4795	112
977	4800	107
978	4805	103
979	4809	98
980	4813	93
981	4818	88
982	4823	83
983	4827	78
984	4833	73
985	4837	68
986	4842	63
987	4847	58
988	4851	53
989	4855	49
990	4860	44
991	4865	39
992	4870	34
993	4876	29
994	4881	24
995	4886	19
996	4892	14
997	4897	9
998	4902	4
999	4907	0
