iter	Passed	Remaining
0	1	485
1	2	403
2	4	419
3	5	416
4	6	371
5	7	356
6	8	363
7	10	368
8	11	387
9	12	367
10	14	371
11	15	382
12	17	393
13	19	395
14	21	409
15	24	426
16	25	421
17	27	429
18	29	438
19	33	469
20	36	478
21	38	484
22	40	489
23	42	491
24	44	492
25	47	495
26	49	499
27	50	494
28	54	510
29	56	507
30	58	507
31	60	507
32	63	510
33	64	504
34	66	503
35	68	502
36	70	498
37	71	490
38	72	488
39	74	482
40	75	479
41	78	482
42	80	482
43	82	481
44	84	480
45	86	476
46	87	472
47	88	465
48	89	461
49	91	456
50	92	453
51	94	449
52	95	445
53	96	441
54	98	437
55	99	434
56	101	431
57	102	428
58	103	424
59	105	420
60	106	417
61	107	414
62	109	411
63	110	408
64	112	405
65	112	400
66	114	396
67	115	394
68	116	390
69	118	387
70	119	384
71	120	381
72	121	378
73	123	375
74	124	374
75	126	371
76	127	369
77	128	366
78	130	364
79	131	361
80	132	358
81	133	356
82	135	353
83	136	350
84	137	348
85	138	345
86	140	343
87	141	341
88	143	339
89	144	336
90	145	334
91	147	332
92	148	330
93	149	328
94	151	326
95	152	324
96	153	320
97	154	318
98	156	316
99	157	314
100	158	312
101	160	311
102	161	309
103	163	307
104	164	306
105	166	304
106	167	302
107	169	300
108	170	298
109	172	297
110	173	295
111	175	294
112	177	293
113	178	291
114	179	289
115	181	287
116	182	285
117	183	283
118	184	280
119	185	278
120	186	276
121	188	274
122	190	274
123	192	272
124	193	270
125	194	268
126	195	266
127	197	264
128	198	262
129	199	260
130	200	258
131	201	256
132	203	255
133	204	253
134	206	252
135	207	250
136	209	248
137	210	247
138	211	245
139	212	243
140	214	241
141	215	239
142	216	237
143	217	236
144	219	234
145	221	233
146	222	231
147	224	230
148	225	228
149	226	226
150	227	224
151	229	222
152	230	221
153	231	219
154	232	217
155	234	216
156	235	214
157	237	213
158	238	211
159	239	209
160	240	207
161	241	205
162	242	204
163	244	202
164	245	201
165	247	199
166	248	198
167	250	196
168	251	195
169	253	193
170	255	192
171	256	191
172	258	189
173	259	188
174	261	186
175	262	185
176	264	183
177	265	182
178	267	180
179	268	179
180	270	177
181	271	176
182	272	174
183	274	172
184	275	171
185	276	169
186	277	167
187	279	166
188	280	164
189	281	163
190	283	161
191	285	160
192	286	158
193	287	157
194	288	155
195	289	153
196	291	152
197	292	150
198	293	148
199	294	147
200	295	145
201	296	143
202	297	142
203	299	140
204	300	139
205	302	138
206	303	136
207	305	135
208	306	133
209	308	132
210	310	130
211	311	129
212	312	127
213	314	126
214	316	125
215	318	123
216	319	122
217	320	120
218	322	119
219	323	117
220	325	116
221	326	114
222	327	113
223	329	111
224	330	110
225	332	108
226	333	107
227	334	105
228	335	104
229	337	102
230	338	101
231	339	99
232	340	98
233	342	96
234	343	94
235	344	93
236	346	91
237	347	90
238	349	89
239	350	87
240	351	86
241	352	84
242	353	82
243	355	81
244	356	79
245	357	78
246	358	76
247	360	75
248	361	74
249	363	72
250	364	71
251	365	69
252	366	68
253	368	66
254	369	65
255	370	63
256	371	62
257	372	60
258	374	59
259	375	57
260	377	56
261	378	54
262	380	53
263	381	52
264	382	50
265	384	49
266	385	47
267	386	46
268	388	44
269	389	43
270	390	41
271	392	40
272	393	38
273	394	37
274	396	36
275	397	34
276	398	33
277	399	31
278	401	30
279	402	28
280	403	27
281	404	25
282	405	24
283	407	22
284	408	21
285	409	20
286	411	18
287	412	17
288	413	15
289	414	14
290	415	12
291	416	11
292	417	9
293	418	8
294	419	7
295	421	5
296	422	4
297	423	2
298	424	1
299	425	0
